ticket	task_label	phase	minutes	dollars	model	provenance	source_file
TOO-19	Phase 0a increment 1	implementation	4	0.15	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 1 - implementation report.md
TOO-19	Phase 0a increment 1	self_review	2	0.05	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 1 - implementation report.md
TOO-19	Phase 0a increment 1	report	1	0.02	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 1 - implementation report.md
TOO-19	Phase 0a increment 1	TOTAL	9	0.275	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 1 - implementation report.md
TOO-19	Phase 0a increment 2	planning	4		Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 2 implementation report.md
TOO-19	Phase 0a increment 2	implementation	2		Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 2 implementation report.md
TOO-19	Phase 0a increment 2	self_review	1		Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 2 implementation report.md
TOO-19	Phase 0a increment 2 -- 18:02:47 -> ~18:09; phase 4 report still in progress, unquantified	TOTAL	6.5		Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 2 implementation report.md
TOO-19	Phase 0a increment 4	planning	7	0.35	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 4 implementation report.md
TOO-19	Phase 0a increment 4	implementation	2	0.2	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 4 implementation report.md
TOO-19	Phase 0a increment 4	self_review	1	0.1	Sonnet 5	M	TOO-19/TOO-19 Phase 0a increment 4 implementation report.md
TOO-19	Phase 0a increment 4	report	1	0.1	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 4 implementation report.md
TOO-19	Phase 0a increment 4	TOTAL	11	0.75	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 4 implementation report.md
TOO-19	Phase 0a increment 6	planning	10	0.35	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 6 implementation report.md
TOO-19	Phase 0a increment 6	implementation	35	1.2	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 6 implementation report.md
TOO-19	Phase 0a increment 6	self_review	8	0.25	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 6 implementation report.md
TOO-19	Phase 0a increment 6	report	5	0.15	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 6 implementation report.md
TOO-19	Phase 0a increment 6	TOTAL	58	1.95	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 6 implementation report.md
TOO-19	Phase 0a increment 8 (active effort, not wall-clock)	planning	45	2.0	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 8 implementation report.md
TOO-19	Phase 0a increment 8 (active effort, not wall-clock)	implementation	50	2.2	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 8 implementation report.md
TOO-19	Phase 0a increment 8 (active effort, not wall-clock)	self_review	10	0.35	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 8 implementation report.md
TOO-19	Phase 0a increment 8 (active effort, not wall-clock)	report	8	0.25	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 8 implementation report.md
TOO-19	Phase 0a increment 8 (active effort, not wall-clock)	TOTAL	112.5	4.85	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increment 8 implementation report.md
TOO-19	Phase 0a increments 7 and 9	planning	10	0.35	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0a increments 7 and 9 -- phase 2 part A	implementation	8	0.2	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0a increments 7 and 9 -- phase 2 part B	implementation	15	0.45	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0a increments 7 and 9	self_review	5	0.1	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0a increments 7 and 9	report	3	0.05	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0a increments 7 and 9	TOTAL	41	1.15	Sonnet 5	E	TOO-19/TOO-19 Phase 0a increments 7 and 9 implementation report.md
TOO-19	Phase 0b increments 3-4	planning	45		Sonnet-class	E	TOO-19/TOO-19 Phase 0b Increments 3-4 Implementation Report.md
TOO-19	Phase 0b increments 3-4	implementation	50		Sonnet-class	E	TOO-19/TOO-19 Phase 0b Increments 3-4 Implementation Report.md
TOO-19	Phase 0b increments 3-4	self_review	15		Sonnet-class	E	TOO-19/TOO-19 Phase 0b Increments 3-4 Implementation Report.md
TOO-19	Phase 0b increments 3-4	report	5		Sonnet-class	E	TOO-19/TOO-19 Phase 0b Increments 3-4 Implementation Report.md
TOO-19	Phase 0b increments 3-4	TOTAL	115	4.0	Sonnet-class	E	TOO-19/TOO-19 Phase 0b Increments 3-4 Implementation Report.md
TOO-19	Phase 0b increments 5-6	planning	12	0.35	Sonnet 5	E	TOO-19/TOO-19 Phase 0b Increments 5-6 Implementation Report.md
TOO-19	Phase 0b increments 5-6	implementation	10	0.3	Sonnet 5	E	TOO-19/TOO-19 Phase 0b Increments 5-6 Implementation Report.md
TOO-19	Phase 0b increments 5-6	self_review	4	0.1	Sonnet 5	E	TOO-19/TOO-19 Phase 0b Increments 5-6 Implementation Report.md
TOO-19	Phase 0b increments 5-6	TOTAL	26	0.75	Sonnet 5	E	TOO-19/TOO-19 Phase 0b Increments 5-6 Implementation Report.md
TOO-19	Phase 0b increments 1-2	planning	10		Sonnet	E	TOO-19/TOO-19 Phase 0b increments 1-2 implementation report.md
TOO-19	Phase 0b increments 1-2	implementation	20		Sonnet	E	TOO-19/TOO-19 Phase 0b increments 1-2 implementation report.md
TOO-19	Phase 0b increments 1-2	self_review	8		Sonnet	E	TOO-19/TOO-19 Phase 0b increments 1-2 implementation report.md
TOO-19	Phase 0b increments 1-2	report	5		Sonnet	E	TOO-19/TOO-19 Phase 0b increments 1-2 implementation report.md
TOO-19	Phase 0b increments 1-2	TOTAL	43	1.5	Sonnet	E	TOO-19/TOO-19 Phase 0b increments 1-2 implementation report.md
TOO-19	Phase 1 increment 9 (documentation)	planning	20	0.4	Sonnet	E	TOO-19/TOO-19 Phase 1 increment 9 documentation report.md
TOO-19	Phase 1 increment 9 (documentation)	implementation	15	0.25	Sonnet	E	TOO-19/TOO-19 Phase 1 increment 9 documentation report.md
TOO-19	Phase 1 increment 9 (documentation)	verification	5	0.075	Sonnet	E	TOO-19/TOO-19 Phase 1 increment 9 documentation report.md
TOO-19	Phase 1 increment 9 (documentation)	report	5	0.075	Sonnet	E	TOO-19/TOO-19 Phase 1 increment 9 documentation report.md
TOO-19	Phase 1 increment 9 (documentation)	TOTAL	45	0.8	Sonnet	E	TOO-19/TOO-19 Phase 1 increment 9 documentation report.md
TOO-19	Phase 1 increments 3 and 5	planning	10	0.3	Sonnet 5	E	TOO-19/TOO-19 Phase 1 increments 3 and 5 implementation report.md
TOO-19	Phase 1 increments 3 and 5	implementation	10	0.3	Sonnet 5	E	TOO-19/TOO-19 Phase 1 increments 3 and 5 implementation report.md
TOO-19	Phase 1 increments 3 and 5 -- combined: new test authoring + verification runs	other	8	0.25	Sonnet 5	E	TOO-19/TOO-19 Phase 1 increments 3 and 5 implementation report.md
TOO-19	Phase 1 increments 3 and 5	report	3	0.05	Sonnet 5	E	TOO-19/TOO-19 Phase 1 increments 3 and 5 implementation report.md
TOO-19	Phase 1 increments 3 and 5	TOTAL	30	0.9	Sonnet 5	E	TOO-19/TOO-19 Phase 1 increments 3 and 5 implementation report.md
TOO-19	review fixes: complexity and minors	planning	2		Sonnet 5	M	TOO-19/TOO-19 Review Fixes - Complexity and Minors Implementation Report.md
TOO-19	review fixes: complexity and minors	implementation	31		Sonnet 5	M	TOO-19/TOO-19 Review Fixes - Complexity and Minors Implementation Report.md
TOO-19	review fixes: complexity and minors -- combined: self-review + report	other	8		Sonnet 5	M	TOO-19/TOO-19 Review Fixes - Complexity and Minors Implementation Report.md
TOO-19	review fixes: complexity and minors	TOTAL	41	4.5	Sonnet 5	M	TOO-19/TOO-19 Review Fixes - Complexity and Minors Implementation Report.md
TOO-19	review fixes: correctness, round 1	planning	5		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 1	implementation	20		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 1	self_review	5		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 1	TOTAL	30	3.0	Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 2	planning	15		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 2	implementation	20		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 2 -- combined: test authoring + self-review + verification	other	20		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes: correctness, round 2	TOTAL	55	4.0	Sonnet-class	E	TOO-19/TOO-19 Review Fixes - Correctness Implementation Report.md
TOO-19	review fixes M1 and M2	planning	20		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - M1 and M2 Implementation Report.md
TOO-19	review fixes M1 and M2	implementation	25		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - M1 and M2 Implementation Report.md
TOO-19	review fixes M1 and M2	self_review	10		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - M1 and M2 Implementation Report.md
TOO-19	review fixes M1 and M2	report	5		Sonnet-class	E	TOO-19/TOO-19 Review Fixes - M1 and M2 Implementation Report.md
TOO-19	review fixes M1 and M2	TOTAL	60	3.0	Sonnet-class	E	TOO-19/TOO-19 Review Fixes - M1 and M2 Implementation Report.md
TOO-19	code review 2026-08-02 majors M1-M3	planning	48	3.5	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review 2026-08-02 majors M1-M3 -- M1	implementation	50	4.0	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review 2026-08-02 majors M1-M3 -- combined: M2 implementation + verification	other	15	1.0	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review 2026-08-02 majors M1-M3 -- combined: M3 implementation + verification	other	20	1.5	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review 2026-08-02 majors M1-M3 -- combined: self-review + report writing	other	15	1.0	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review 2026-08-02 majors M1-M3	TOTAL	108	11.0	Opus 5	E	TOO-19/TOO-19 code review 2026-08-02 majors M1-M3.md
TOO-19	code review majors M1-M3 fix report	planning	35	0.9	Sonnet 5	E	TOO-19/TOO-19 code review Majors M1-M3 - fix report.md
TOO-19	code review majors M1-M3 fix report	implementation	70	2.0	Sonnet 5	E	TOO-19/TOO-19 code review Majors M1-M3 - fix report.md
TOO-19	code review majors M1-M3 fix report	verification	25	0.5	Sonnet 5	E	TOO-19/TOO-19 code review Majors M1-M3 - fix report.md
TOO-19	code review majors M1-M3 fix report	TOTAL	130	3.4	Sonnet 5	E	TOO-19/TOO-19 code review Majors M1-M3 - fix report.md
TOO-19	code review minors m1-m4, m6	planning	15	0.6	Sonnet 5	E	TOO-19/TOO-19 code review minors m1-m4 m6 - fix report.md
TOO-19	code review minors m1-m4, m6	implementation	75	3.5	Sonnet 5	E	TOO-19/TOO-19 code review minors m1-m4 m6 - fix report.md
TOO-19	code review minors m1-m4, m6	self_review	20	0.8	Sonnet 5	E	TOO-19/TOO-19 code review minors m1-m4 m6 - fix report.md
TOO-19	code review minors m1-m4, m6	report	5	0.2	Sonnet 5	E	TOO-19/TOO-19 code review minors m1-m4 m6 - fix report.md
TOO-19	code review minors m1-m4, m6	TOTAL	115	5.1	Sonnet 5	E	TOO-19/TOO-19 code review minors m1-m4 m6 - fix report.md
TOO-19	compound.py _extract_outer_command tests and fixes	planning	3	0.05	Sonnet-class	E	TOO-19/TOO-19 compound.py _extract_outer_command Tests and Fixes.md
TOO-19	compound.py _extract_outer_command tests and fixes	implementation	9	0.2	Sonnet-class	E	TOO-19/TOO-19 compound.py _extract_outer_command Tests and Fixes.md
TOO-19	compound.py _extract_outer_command tests and fixes	self_review	3	0.05	Sonnet-class	E	TOO-19/TOO-19 compound.py _extract_outer_command Tests and Fixes.md
TOO-19	compound.py _extract_outer_command tests and fixes	report	2	0.03	Sonnet-class	E	TOO-19/TOO-19 compound.py _extract_outer_command Tests and Fixes.md
TOO-19	compound.py _extract_outer_command tests and fixes	TOTAL	17	0.33	Sonnet-class	E	TOO-19/TOO-19 compound.py _extract_outer_command Tests and Fixes.md
TOO-19	config_types.py extraction	planning	4		Sonnet	E	TOO-19/TOO-19 config_types.py extraction implementation report.md
TOO-19	config_types.py extraction	implementation	2		Sonnet	E	TOO-19/TOO-19 config_types.py extraction implementation report.md
TOO-19	config_types.py extraction	self_review	3		Sonnet	E	TOO-19/TOO-19 config_types.py extraction implementation report.md
TOO-19	config_types.py extraction	report	1		Sonnet	E	TOO-19/TOO-19 config_types.py extraction implementation report.md
TOO-19	config_types.py extraction	TOTAL	10		Sonnet	E	TOO-19/TOO-19 config_types.py extraction implementation report.md
TOO-19	discovery log change-detection	planning	7	0.35	Sonnet 5	E	TOO-19/TOO-19 discovery log change-detection implementation report.md
TOO-19	discovery log change-detection	implementation	13	0.65	Sonnet 5	E	TOO-19/TOO-19 discovery log change-detection implementation report.md
TOO-19	discovery log change-detection	self_review	8	0.4	Sonnet 5	E	TOO-19/TOO-19 discovery log change-detection implementation report.md
TOO-19	discovery log change-detection	report	3	0.15	Sonnet 5	E	TOO-19/TOO-19 discovery log change-detection implementation report.md
TOO-19	discovery log change-detection	TOTAL	31	1.55	Sonnet 5	E	TOO-19/TOO-19 discovery log change-detection implementation report.md
TOO-19	increment 3 hard_deny entries	planning	10		Sonnet-class	E	TOO-19/TOO-19 increment 3 - hard_deny entries - implementation report.md
TOO-19	increment 3 hard_deny entries	implementation	12		Sonnet-class	E	TOO-19/TOO-19 increment 3 - hard_deny entries - implementation report.md
TOO-19	increment 3 hard_deny entries	self_review	5		Sonnet-class	E	TOO-19/TOO-19 increment 3 - hard_deny entries - implementation report.md
TOO-19	increment 3 hard_deny entries	report	5		Sonnet-class	E	TOO-19/TOO-19 increment 3 - hard_deny entries - implementation report.md
TOO-19	increment 3 hard_deny entries	TOTAL	32	0.45	Sonnet-class	E	TOO-19/TOO-19 increment 3 - hard_deny entries - implementation report.md
TOO-19	s1 SessionStart invariant + m3 wrapper false-positive	planning	15		Sonnet 5	E	TOO-19/TOO-19 s1 SessionStart invariant and m3 wrapper false-positive.md
TOO-19	s1 SessionStart invariant + m3 wrapper false-positive	implementation	9		Sonnet 5	E	TOO-19/TOO-19 s1 SessionStart invariant and m3 wrapper false-positive.md
TOO-19	s1 SessionStart invariant + m3 wrapper false-positive	verification	11		Sonnet 5	E	TOO-19/TOO-19 s1 SessionStart invariant and m3 wrapper false-positive.md
TOO-19	s1 SessionStart invariant + m3 wrapper false-positive	report	5		Sonnet 5	E	TOO-19/TOO-19 s1 SessionStart invariant and m3 wrapper false-positive.md
TOO-19	s1 SessionStart invariant + m3 wrapper false-positive	TOTAL	40	1.5	Sonnet 5	E	TOO-19/TOO-19 s1 SessionStart invariant and m3 wrapper false-positive.md
TOO-19	shadowing detection + install hardening	planning	37		Sonnet 5	M	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	shadowing detection + install hardening	implementation	36		Sonnet 5	M	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	shadowing detection + install hardening	implementation	7	phase 2b docs	Sonnet 5	M	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	shadowing detection + install hardening	self_review	6		Sonnet 5	M	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	shadowing detection + install hardening -- phase 4 stated as 'a few more minutes', unquantified	report			Sonnet 5	E	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	shadowing detection + install hardening	TOTAL	90	4.5	Sonnet 5	M	TOO-19/TOO-19 shadowing detection and install hardening.md
TOO-19	undecidable_fallback config + threading	planning	2		Sonnet-class	M	TOO-19/TOO-19 undecidable_fallback - config and threading implementation report.md
TOO-19	undecidable_fallback config + threading	implementation	8		Sonnet-class	M	TOO-19/TOO-19 undecidable_fallback - config and threading implementation report.md
TOO-19	undecidable_fallback config + threading -- combined: self-review + report	other	4		Sonnet-class	M	TOO-19/TOO-19 undecidable_fallback - config and threading implementation report.md
TOO-19	undecidable_fallback config + threading	TOTAL	14	0.45	Sonnet-class	M	TOO-19/TOO-19 undecidable_fallback - config and threading implementation report.md
TOO-19	deny-side rule fabrication fix	planning	10		Sonnet 5	E	TOO-19/TOO-19 deny-side rule fabrication fix.md
TOO-19	deny-side rule fabrication fix	implementation	8		Sonnet 5	E	TOO-19/TOO-19 deny-side rule fabrication fix.md
TOO-19	deny-side rule fabrication fix	verification	11		Sonnet 5	E	TOO-19/TOO-19 deny-side rule fabrication fix.md
TOO-19	deny-side rule fabrication fix	TOTAL	27.5		Sonnet 5	E	TOO-19/TOO-19 deny-side rule fabrication fix.md
TOO-15	P0 analyzers	planning	12		claude-sonnet-4-6	E	implementation/TOO-15 P0 Analyzers Implementation Report.md
TOO-15	P0 analyzers	implementation	35		claude-sonnet-4-6	E	implementation/TOO-15 P0 Analyzers Implementation Report.md
TOO-15	P0 analyzers -- combined: self-review + bug fixes	other	8		claude-sonnet-4-6	E	implementation/TOO-15 P0 Analyzers Implementation Report.md
TOO-15	P0 analyzers	report	5		claude-sonnet-4-6	E	implementation/TOO-15 P0 Analyzers Implementation Report.md
TOO-15	P0 analyzers	TOTAL	60	0.95	claude-sonnet-4-6	E	implementation/TOO-15 P0 Analyzers Implementation Report.md
TOO-15	P0 keystone	planning	8		claude-sonnet-4-6	E	implementation/TOO-15 P0 Keystone Implementation Report.md
TOO-15	P0 keystone	implementation	18		claude-sonnet-4-6	E	implementation/TOO-15 P0 Keystone Implementation Report.md
TOO-15	P0 keystone -- combined: self-review + test fixes	other	4		claude-sonnet-4-6	E	implementation/TOO-15 P0 Keystone Implementation Report.md
TOO-15	P0 keystone	report	2		claude-sonnet-4-6	E	implementation/TOO-15 P0 Keystone Implementation Report.md
TOO-15	P0 keystone	TOTAL	32	0.625	claude-sonnet-4-6	E	implementation/TOO-15 P0 Keystone Implementation Report.md
TOO-15	P1 audit context export	planning	5	0.08		E	implementation/TOO-15 P1 Audit Context Export Implementation Report.md
TOO-15	P1 audit context export	implementation	12	0.25		E	implementation/TOO-15 P1 Audit Context Export Implementation Report.md
TOO-15	P1 audit context export -- combined: self-review + fixes	other	5	0.1		E	implementation/TOO-15 P1 Audit Context Export Implementation Report.md
TOO-15	P1 audit context export	report	3	0.05		E	implementation/TOO-15 P1 Audit Context Export Implementation Report.md
TOO-15	P1 audit context export -- source states a total cost but no total time	TOTAL		0.48		E	implementation/TOO-15 P1 Audit Context Export Implementation Report.md
TOO-15	P2-A.1 consolidation core	planning	15			E	implementation/TOO-15 P2-A.1 Consolidation Core Implementation Report.md
TOO-15	P2-A.1 consolidation core -- split across two sessions	implementation	35			E	implementation/TOO-15 P2-A.1 Consolidation Core Implementation Report.md
TOO-15	P2-A.1 consolidation core	self_review	10			E	implementation/TOO-15 P2-A.1 Consolidation Core Implementation Report.md
TOO-15	P2-A.1 consolidation core	TOTAL	60	0.65		E	implementation/TOO-15 P2-A.1 Consolidation Core Implementation Report.md
TOO-15	project root consolidation	planning	10		Sonnet 5	E	implementation/TOO-15 Project Root Consolidation Implementation Report.md
TOO-15	project root consolidation -- RED phase	implementation	10		Sonnet 5	E	implementation/TOO-15 Project Root Consolidation Implementation Report.md
TOO-15	project root consolidation -- coordinator gap-fix	implementation	3		Sonnet 5	E	implementation/TOO-15 Project Root Consolidation Implementation Report.md
TOO-15	project root consolidation -- combined: GREEN implementation + full suite/ruff/coverage + self-review	other	7		Sonnet 5	E	implementation/TOO-15 Project Root Consolidation Implementation Report.md
TOO-15	project root consolidation	TOTAL	30	2.0	Sonnet 5	E	implementation/TOO-15 Project Root Consolidation Implementation Report.md
TOO-15	P1 security audit aggregator	planning	3		Sonnet 4.6	M	TOO-15/TOO-15 P1 Security Audit Aggregator Implementation Report.md
TOO-15	P1 security audit aggregator	implementation	3		Sonnet 4.6	M	TOO-15/TOO-15 P1 Security Audit Aggregator Implementation Report.md
TOO-15	P1 security audit aggregator -- combined: self-review + verification	other	2		Sonnet 4.6	M	TOO-15/TOO-15 P1 Security Audit Aggregator Implementation Report.md
TOO-15	P1 security audit aggregator -- handoff	report	1		Sonnet 4.6	M	TOO-15/TOO-15 P1 Security Audit Aggregator Implementation Report.md
TOO-15	P1 security audit aggregator	TOTAL	9	0.1	Sonnet 4.6	M	TOO-15/TOO-15 P1 Security Audit Aggregator Implementation Report.md
TOO-16	distribution tooling enhancement	planning	8		claude-sonnet-4-6	E	implementation/TOO-16 Distribution Tooling Enhancement Implementation Report.md
TOO-16	distribution tooling enhancement	implementation	18		claude-sonnet-4-6	E	implementation/TOO-16 Distribution Tooling Enhancement Implementation Report.md
TOO-16	distribution tooling enhancement -- combined: self-review + test runs	other	4		claude-sonnet-4-6	E	implementation/TOO-16 Distribution Tooling Enhancement Implementation Report.md
TOO-16	distribution tooling enhancement	TOTAL	30	0.625	claude-sonnet-4-6	E	implementation/TOO-16 Distribution Tooling Enhancement Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, IR design pass	planning	20	0.15		E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, IR design pass -- IR design + initial implementation	implementation	30	0.3		E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, IR design pass -- debugging + test fixes	implementation	25	0.25		E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, IR design pass -- combined: self-review + hasattr cleanup	other	15	0.15		E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, IR design pass	TOTAL	90	0.85		E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, continuation session -- setup from compaction summary / context recovery	other	2			E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, continuation session -- fix test_simple_allowed_command	implementation	5			E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, continuation session -- fix test_adjacent_subshells	implementation	3			E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, continuation session -- combined: final validation + report	other	5			E	implementation/TOO-17 Implementation Report.md
TOO-17	grammar-first multi-line bash parsing, continuation session	TOTAL	15	0.08		E	implementation/TOO-17 Implementation Report.md
TOO-8	follow-up: loader deletion + Bash takeover coverage	planning	6		Sonnet 4.6	E	implementation/TOO-8 Follow-up- Loader Deletion and Bash Takeover Coverage Implementation Report.md
TOO-8	follow-up: loader deletion + Bash takeover coverage	implementation	10		Sonnet 4.6	E	implementation/TOO-8 Follow-up- Loader Deletion and Bash Takeover Coverage Implementation Report.md
TOO-8	follow-up: loader deletion + Bash takeover coverage	self_review	3		Sonnet 4.6	E	implementation/TOO-8 Follow-up- Loader Deletion and Bash Takeover Coverage Implementation Report.md
TOO-8	follow-up: loader deletion + Bash takeover coverage	report	3		Sonnet 4.6	E	implementation/TOO-8 Follow-up- Loader Deletion and Bash Takeover Coverage Implementation Report.md
TOO-8	follow-up: loader deletion + Bash takeover coverage	TOTAL	22	0.8	Sonnet 4.6	E	implementation/TOO-8 Follow-up- Loader Deletion and Bash Takeover Coverage Implementation Report.md
TOO-30	GREEN phase -- setup: ticket/memory read, baseline test run	planning	7		Sonnet 5	E	TOO-30/TOO-30 Coder Implementation Report - GREEN Phase.md
TOO-30	GREEN phase -- reading config.py + test file, understanding contract	planning	10		Sonnet 5	E	TOO-30/TOO-30 Coder Implementation Report - GREEN Phase.md
TOO-30	GREEN phase -- items 1-7 + first full test run	implementation	10		Sonnet 5	E	TOO-30/TOO-30 Coder Implementation Report - GREEN Phase.md
